game,ply,side,san,uci,fen_before,depth,nodes,nps,engine_time_ms,wall_time_s,time_gap_ms,score_type,score_val,score_cp,pv,bookns,ttns,singns,evalns,probcutns,sf_best_move,sf_best_cp,sf_actual_cp,sf_cp_lost,sf_match,sf_mate_involved,sf_accuracy,sf_class
7,172,black,Rh5+,h4h5,6k1/R6p/P7/1K6/7r/7P/8/8 b - - 22 86,16,2750578,8385908,328,3.0,2672,cp,-90,-90,h4h5 b5c6 h5h6 c6b7 h6h3 b7c7 h3a3,40,107155428,319507011,33080998,0,h4h5,-559,-576,17,True,False,97.28102666762504,Best
7,173,white,Kb6,b5b6,6k1/R6p/P7/1K5r/8/7P/8/8 w - - 23 87,19,16487607,5842525,2822,3.001,179,cp,122,122,b5b6 h5h6 b6b5 h6h5 b5c6 h5h6,90,454648577,1592149561,156872457,5520,b5b6,561,598,-37,True,False,99.9999,Best
7,174,black,Rh6+,h5h6,6k1/R6p/PK6/7r/8/7P/8/8 b - - 24 87,18,8304799,11897992,698,3.001,2303,cp,-120,-120,h5h6 b6c5 h6f6,350,311466067,1102924549,96667246,29590,h5h6,-599,-606,7,True,False,98.98055714384924,Best
7,175,white,Kc7,b6c7,6k1/R6p/PK5r/8/8/7P/8/8 w - - 25 88,17,14623081,4874360,3000,3.001,1,cp,118,118,b6c7 h6f6 a7a8 g8g7 a6a7 f6f7 c7b6 f7f6 b6a5 f6f5 a5b4 f5f4 b4c5 f4f5 c5c6,40,416235991,1395143041,159731659,42990,b6b7,611,4,607,False,False,14.837635947971107,Blunder
7,176,black,Rf6,h6f6,6k1/R1K4p/P6r/8/8/7P/8/8 b - - 26 88,17,4094359,8711402,470,3.0,2530,cp,-92,-92,h6f6 c7d7,50,158314963,491028396,48368734,0,h6f6,-4,-3,-1,True,False,99.9999,Best
7,177,white,Ra8+,a7a8,6k1/R1K4p/P4r2/8/8/7P/8/8 w - - 27 89,19,25534233,8511411,3000,3.0,0,cp,118,118,a7a8 g8g7 a6a7 f6f7 c7b6 f7f6 b6a5 f6f5 a5b4 f5f4 b4c5 f4f5 c5c6,150,673351222,2379408810,244952677,43140,c7d8,3,0,3,False,False,98.76687990997573,Excellent
7,178,black,Kg7,g8g7,R5k1/2K4p/P4r2/8/8/7P/8/8 b - - 28 89,17,447740,3762521,119,3.001,2882,cp,-95,-95,g8g7 c7d7,50,15252360,53419055,5307198,0,g8g7,0,0,0,True,False,99.9999,Best
7,179,white,a7,a6a7,R7/2K3kp/P4r2/8/8/7P/8/8 w - - 29 90,18,17655026,5885008,3000,3.001,1,cp,118,118,a6a7 f6f7 c7b6 f7f6 b6a5 f6f5 a5b4 f5f4 b4c5 f4f5 c5c6,50,458265397,1613061711,165917068,5480,h3h4,0,0,0,False,False,99.9999,Excellent
7,180,black,Rf7+,f6f7,R7/P1K3kp/5r2/8/8/7P/8/8 b - - 0 90,20,26831692,9810490,2735,3.001,266,cp,-74,-74,f6f7 c7b6 f7f6 b6b5 f6f5 b5b4 f5f4 b4b3 f4f3 b3b2 f3f2 b2a3 f2f3,30,834179821,3782515549,297481644,489840,f6f7,0,0,0,True,False,99.9999,Best
7,181,white,Kb6,c7b6,R7/P1K2rkp/8/8/8/7P/8/8 w - - 1 91,20,10341445,4229629,2445,3.0,555,cp,118,118,c7b6 f7f6 b6a5 f6f5 a5b4 f5f4 b4c5 f4f5 c5c6 f5f6 c6c7 f6f7,90,270791692,1212370522,104729651,96820,c7b6,0,0,0,True,False,99.9999,Best
7,182,black,Rf6+,f7f6,R7/P4rkp/1K6/8/8/7P/8/8 b - - 2 91,21,33171323,11057107,3000,3.001,1,cp,-117,-117,f7f6 b6c5,30,1050797851,4648488981,390843470,625480,f7f6,0,0,0,True,False,99.9999,Best
7,183,white,Ka5,b6a5,R7/P5kp/1K3r2/8/8/7P/8/8 w - - 3 92,20,16304863,5434954,3000,3.001,1,cp,84,84,b6a5 f6f5 a5b6,60,437891834,1906500812,147322036,187830,b6a5,0,0,0,True,False,99.9999,Best
7,184,black,Rf5+,f6f5,R7/P5kp/5r2/K7/8/7P/8/8 b - - 4 92,19,10938771,9365386,1168,3.001,1833,cp,-73,-73,f6f5 a5a4 f5f4 a4a3 f4f3 a3b2 f3f2 b2a3,140,349248065,1472110267,117545064,538432,f6f5,0,0,0,True,False,99.9999,Best
7,185,white,Ka4,a5a4,R7/P5kp/8/K4r2/8/7P/8/8 w - - 5 93,20,14525383,4897297,2966,3.0,34,cp,112,112,a5a4 f5f4 a4b3 f4f3 b3a2 f3f2 a2a3 f2f3 a3b4 f3f4 b4c3,40,360085378,1455336139,138569436,61250,a5a4,0,0,0,True,False,99.9999,Best
7,186,black,Rf4+,f5f4,R7/P5kp/8/5r2/K7/7P/8/8 b - - 6 93,20,29742819,10695008,2781,3.001,220,cp,-87,-87,f5f4 a4b3 g7f6,40,973881165,4435018408,339922617,1364036,f5f4,0,0,0,True,False,99.9999,Best
7,187,white,Ka3,a4a3,R7/P5kp/8/8/K4r2/7P/8/8 w - - 7 94,20,8749860,5760276,1519,3.001,1482,cp,112,112,a4a3 f4f3 a3b4 f3f4 b4c3,30,230383863,1132567465,84864627,155040,a4a3,0,0,0,True,False,99.9999,Best
7,188,black,Rf3+,f4f3,R7/P5kp/8/8/5r2/K6P/8/8 b - - 8 94,19,24993994,8331331,3000,3.0,0,cp,-119,-119,f4f3 a3a2 f3f2 a2b3 f2f3,80,825107727,3486268086,290311354,516672,f4f3,0,0,0,True,False,99.9999,Best
7,189,white,Ka2,a3a2,R7/P5kp/8/8/8/K4r1P/8/8 w - - 9 95,19,11422976,3807658,3000,3.0,0,cp,119,119,a3a2 f3f2 a2b3,40,306986271,1317428416,114959017,67640,a3a2,0,0,0,True,False,99.9999,Best
7,190,black,Rf2+,f3f2,R7/P5kp/8/8/8/5r1P/K7/8 b - - 10 95,20,30621820,16481065,1858,3.001,1143,cp,-119,-119,f3f2 a2b3,40,1021850469,4591351152,353740141,1035291,f3f2,0,0,0,True,False,99.9999,Best
7,191,white,Kb3,a2b3,R7/P5kp/8/8/8/7P/K4r2/8 w - - 11 96,19,24551199,8181005,3001,3.001,0,cp,119,119,a2b3 f2f3 b3c4,50,625169566,2939716880,232461400,76291,a2a1,0,0,0,False,False,99.9999,Excellent
7,192,black,Rf3+,f2f3,R7/P5kp/8/8/8/1K5P/5r2/8 b - - 12 96,20,14592183,8391134,1739,3.0,1261,cp,-73,-73,f2f3 b3b2 f3f2,320,466582841,2027975819,154906647,324363,f2f3,0,0,0,True,False,99.9999,Best
7,193,white,Kb2,b3b2,R7/P5kp/8/8/8/1K3r1P/8/8 w - - 13 97,20,4649089,4930104,943,3.0,2057,cp,112,112,b3b2 f3f2 b2c3,40,133365253,565851090,46517979,107540,b3a2,0,0,0,False,False,99.9999,Excellent
